state,year,month,articles_all,articles_EPU_BBD,articles_EPU_Composite,articles_EPU_National,articles_EPU_State,ym,EPU_BBD,mean_frac_EPU_BBD,EPU_National,mean_frac_EPU_National,EPU_State,mean_frac_EPU_State,EPU_Composite,mean_frac_EPU_Composite
AK,2002,7,3340,6,6,4,4,2002.5,104.45757,.0014301473,69.638382,.0011915631,69.638382,.00071285898,104.45757,.0017103769
AK,2002,8,3578,2,8,5,5,2002.5834,32.503101,.0011573969,81.257751,.0010888104,81.257751,.00058686751,130.01241,.001482917
AK,2002,9,3494,9,13,5,8,2002.6666,149.78032,.0015776894,83.211288,.0013661195,133.13806,.00071552396,216.34935,.0018303316
AK,2002,10,4235,14,17,6,16,2002.75,192.22496,.0012935156,82.382126,.001019301,219.68567,.00084240234,233.41602,.001607127
AK,2002,11,3505,4,6,4,4,2002.8334,66.360115,.0014062665,66.360115,.0012811261,66.360115,.00077996159,99.540176,.0017990664
AK,2002,12,3182,8,10,7,7,2002.9166,146.19246,.0016653567,127.9184,.0014054433,127.9184,.00084868155,182.74057,.0019353444
AK,2003,1,3463,5,6,4,4,2003,83.956184,.0019291323,67.16494,.0014419903,67.16494,.0011062697,100.74741,.0022275294
AK,2003,2,3057,3,4,3,2,2003.0834,57.063835,.0020903253,57.063835,.0016355588,38.042557,.00090361765,76.085114,.0022994822
AK,2003,3,3549,5,8,2,7,2003.1666,81.921738,.0020563814,32.768696,.0016853624,114.69044,.0009953269,131.07478,.0024243272
AK,2003,4,3314,5,7,2,6,2003.25,87.730911,.0014925951,35.092365,.0012037938,105.27709,.00084134296,122.82327,.0017885343
AK,2003,5,3392,6,10,2,9,2003.3334,102.85622,.0013721937,34.285408,.0010496496,154.28433,.00089247443,171.42703,.0016940476
AK,2003,6,3566,11,14,6,11,2003.4166,179.36864,.00094591186,97.83744,.00080326345,179.36864,.00070373295,228.28735,.0012555667
AK,2003,7,3636,5,7,4,4,2003.5,79.961563,.00090616144,63.96925,.00064899982,63.96925,.00070303393,111.94619,.0011495686
AK,2003,8,3639,3,2,2,1,2003.5834,47.937386,.00087002356,31.95826,.00079921575,15.97913,.00071820663,31.95826,.0012454113
AK,2003,9,3434,2,5,2,4,2003.6666,33.866074,.0009859252,33.866074,.00077123329,67.732147,.00073647435,84.665184,.0012765202
AK,2003,10,3790,5,6,2,6,2003.75,76.712471,.0006917211,30.684986,.00053899852,92.054962,.00057529687,92.054962,.00093171909
AK,2003,11,3204,2,3,2,2,2003.8334,36.297157,.00067112094,36.297157,.00058660074,36.297157,.00053786027,54.44574,.00094604725
AK,2003,12,3108,3,4,2,4,2003.9166,56.12746,.00084665779,37.418308,.0007280212,74.836617,.00057898345,74.836617,.0010872751
AK,2004,1,3473,8,10,7,9,2004,133.94312,.0010144004,117.20022,.0008758895,150.68599,.00053847971,167.42888,.0012493216
AK,2004,2,3804,8,12,3,12,2004.0834,122.28822,.00087835127,45.858086,.00069175824,183.43234,.00055714353,183.43234,.0010590542
AK,2004,3,3815,10,10,5,5,2004.1666,152.41953,.00085271755,76.209763,.00074287353,76.209763,.00047813842,152.41953,.0010573249
AK,2004,4,3364,4,5,5,3,2004.25,69.141556,.00065794063,86.426941,.00053871708,51.856171,.00043895468,86.426941,.00079708098
AK,2004,5,2934,5,6,2,4,2004.3334,99.093475,.00085578248,39.63739,.00069537072,79.27478,.00051537936,118.91216,.001048975
AK,2004,6,2757,8,9,3,7,2004.4166,168.72847,.00079931132,63.273174,.00070186245,147.63741,.00048034717,189.81953,.0010043388
AK,2004,7,2967,3,3,3,1,2004.5,58.794792,.00072417769,58.794792,.0006856792,19.598265,.00041131306,58.794792,.00091356633
AK,2004,8,3465,2,2,2,1,2004.5834,33.563087,.00069980149,33.563087,.00069022959,16.781544,.00038064749,33.563087,.00089773681
AK,2004,9,2831,5,5,3,4,2004.6666,102.69878,.00074046088,61.619267,.00062079314,82.159027,.00041635803,102.69878,.00086039305
AK,2004,10,3227,5,7,5,6,2004.75,90.096138,.0010722458,90.096138,.00092837535,108.11537,.00055500685,126.1346,.0012362417
AK,2004,11,3432,6,5,4,2,2004.8334,101.65742,.00077703909,67.771622,.00083623052,33.885811,.00041238902,84.714523,.0010386856
AK,2004,12,3512,4,4,4,2,2004.9166,66.227852,.00048558612,66.227852,.00054889155,33.113926,.00039080766,66.227852,.00073096226
AK,2005,1,3465,5,6,4,3,2005,83.907722,.00073342025,67.126175,.00052455842,50.344631,.00051858748,100.68926,.00089144008
AK,2005,2,3486,2,8,2,7,2005.0834,33.360901,.00071608752,33.360901,.0004988396,116.76315,.00045924159,133.4436,.00083686906
AK,2005,3,3795,3,4,4,2,2005.1666,45.966835,.0005432507,61.28912,.00042652831,30.64456,.000435447,61.28912,.00066535024
AK,2005,4,3625,8,8,4,6,2005.25,128.32674,.00066158286,64.163368,.00051491888,96.245049,.00044464224,128.32674,.00078082719
AK,2005,5,3476,4,4,4,2,2005.3334,66.91375,.00073575496,66.91375,.00057592109,33.456875,.00044022713,66.91375,.0008845019
AK,2005,6,3213,5,8,5,7,2005.4166,90.488716,.00066137163,90.488716,.0005128184,126.6842,.00043406081,144.78195,.00079751998
AK,2005,7,3301,4,4,2,4,2005.5,70.461136,.00065029773,35.230568,.00055676961,70.461136,.00043838687,70.461136,.00081606995
AK,2005,8,3350,3,4,3,3,2005.5834,52.07288,.00058443652,52.07288,.00053629832,52.07288,.00045660447,69.430504,.00081174582
AK,2005,9,3309,1,3,3,3,2005.6666,17.572697,.00089035317,52.718086,.00076673669,52.718086,.00049461232,52.718086,.0010533569
AK,2005,10,3232,4,5,1,5,2005.75,71.965408,.0006693842,17.991352,.0005355702,89.956757,.00050556852,89.956757,.00086827128
AK,2005,11,3175,4,6,3,5,2005.8334,73.257385,.00057748752,54.943039,.0004374226,91.571732,.00043063835,109.88608,.00070064288
AK,2005,12,3256,6,8,3,7,2005.9166,107.15243,.00063524192,53.576214,.00055782311,125.01116,.00040103911,142.8699,.00079041661
AK,2006,1,3235,8,8,3,8,2006,143.79733,.00065513694,53.924004,.00047676658,143.79733,.00051980856,143.79733,.000818278
AK,2006,2,3209,6,7,4,5,2006.0834,108.72182,.00074218994,72.481209,.00055383064,90.601509,.00044724741,126.84212,.00081992213
AK,2006,3,3741,3,3,2,2,2006.1666,46.630352,.000569508,31.086901,.00045503804,31.086901,.00042313413,46.630352,.00069547549
AK,2006,4,3274,10,10,2,9,2006.25,177.60553,.00074802007,35.521107,.00058890926,159.84499,.00050766487,177.60553,.00090519391
AK,2006,5,3097,13,13,5,12,2006.3334,244.08287,.00075007841,93.878029,.00059961056,225.30727,.00050466775,244.08287,.00093266246
AK,2006,6,3250,5,6,4,6,2006.4166,89.458534,.00072574808,71.566826,.00062681193,107.35025,.00040357682,107.35025,.00086516573
AK,2006,7,3093,7,8,4,6,2006.5,131.5992,.0006954589,75.199547,.0006398983,112.79932,.00043998138,150.39909,.00087870786
AK,2006,8,3024,5,5,2,4,2006.5834,96.144264,.00078425842,38.457703,.00069231133,76.915405,.00042654018,96.144264,.00093971851
AK,2006,9,3246,4,4,4,2,2006.6666,71.655022,.00043074702,71.655022,.000426354,35.827511,.00036479451,71.655022,.00063866674
AK,2006,10,3512,9,11,3,11,2006.75,149.01265,.00059044966,49.670887,.0004509771,182.12657,.00047012296,182.12657,.00072244776
AK,2006,11,3419,5,7,2,7,2006.8334,85.036636,.000655515,34.014656,.0005757155,119.05128,.00042001239,119.05128,.00078821578
AK,2006,12,3100,5,8,4,7,2006.9166,93.787178,.00058137975,75.029747,.00046805522,131.30205,.00048035869,150.05949,.00070087216
AK,2007,1,3370,4,4,3,1,2007,69.018456,.00063127332,51.763844,.00049376802,17.254614,.00040684352,69.018456,.0007619739
AK,2007,2,3497,3,9,6,5,2007.0834,49.883942,.0004640657,99.767883,.0003487439,83.1399,.00031598963,149.65182,.00055166439
AK,2007,3,3578,6,7,3,5,2007.1666,97.509308,.00062217028,48.754654,.00042886962,81.257751,.00037527041,113.76086,.00069178612
AK,2007,4,3466,4,5,3,4,2007.25,67.106804,.00056117645,50.330105,.00044889963,67.106804,.00036278763,83.883514,.00067514856
AK,2007,5,3243,6,6,1,6,2007.3334,107.58196,.00056049897,17.930326,.00038080453,107.58196,.00039410611,107.58196,.00066240248
AK,2007,6,3153,4,5,3,5,2007.4166,73.768539,.00055156898,55.326401,.00044197089,92.210678,.0003582224,92.210678,.00065672101
AK,2007,7,3159,3,5,4,2,2007.5,55.221317,.00042829875,73.628426,.00039096817,36.814213,.00033251775,92.03553,.00059122633
AK,2007,8,3441,1,2,1,1,2007.5834,16.89859,.00078209158,16.89859,.00070950441,16.89859,.00031663635,33.79718,.0008811999
AK,2007,9,3471,6,5,3,4,2007.6666,100.51521,.00080101,50.257607,.00075883197,67.010139,.00040949328,83.762672,.00096170581
AK,2007,10,3367,4,6,1,6,2007.75,69.079956,.00070081756,17.269989,.00064820034,103.61993,.00041316525,103.61993,.00089019095
AK,2007,11,3323,5,7,4,4,2007.8334,87.493301,.00068980816,69.994637,.00061448989,69.994637,.00040703511,122.49063,.00089466904
AK,2007,12,3199,7,9,4,8,2007.9166,127.23862,.00096712093,72.707787,.00084453623,145.41557,.00056589732,163.59251,.0011863592
AK,2008,1,3528,6,10,4,8,2008,98.891235,.0014416566,65.927498,.0012192788,131.855,.00075702235,164.81874,.0017302153
AK,2008,2,3559,9,8,6,8,2008.0834,147.0448,.0011393899,98.029869,.00087544241,130.7065,.00068763632,130.7065,.0013289017
AK,2008,3,3840,6,5,3,4,2008.1666,90.856331,.0010439792,45.428165,.00080183387,60.570889,.00064057391,75.713608,.001263711
AK,2008,4,3726,6,3,3,1,2008.25,93.636154,.00093466596,46.818077,.00068928965,15.606025,.0005415568,46.818077,.0011016479
AK,2008,5,3904,5,6,4,5,2008.3334,74.472397,.00077928288,59.577915,.00058414735,74.472397,.00051936705,89.366882,.00094420864
AK,2008,6,3585,6,8,6,4,2008.4166,97.318916,.0008751626,97.318916,.0007523509,64.879272,.00046879132,129.75854,.001088667
AK,2008,7,3465,2,4,3,2,2008.5,33.563087,.00089891418,50.344631,.00079129421,33.563087,.00054288591,67.126175,.0011650547
AK,2008,8,3833,7,8,2,7,2008.5834,106.19263,.00087838108,30.340754,.00081205298,106.19263,.00060766848,121.36301,.0011942716
AK,2008,9,4837,4,9,5,8,2008.6666,48.086044,.0016312682,60.107555,.0015210537,96.172089,.00075809041,108.1936,.0019845907
AK,2008,10,4010,7,7,3,5,2008.75,101.50533,.002380593,43.502281,.0019905523,72.503807,.0014447586,101.50533,.0029597406
AK,2008,11,3524,10,11,7,8,2008.8334,165.00581,.0020587796,115.50407,.0018714356,132.00465,.0011859677,181.50639,.0025932593
AK,2008,12,3232,9,14,6,10,2008.9166,161.92218,.0015740943,107.94811,.0013443658,179.91351,.0011485178,251.87894,.002118859
AK,2009,1,3150,12,15,7,13,2009,221.51637,.0021984221,129.2179,.0016077184,239.97607,.0014729114,276.89548,.0026462965
AK,2009,2,3345,9,11,5,9,2009.0834,156.45215,.0022831736,86.917862,.0019102728,156.45215,.0014205563,191.2193,.0027585677
AK,2009,3,3588,19,22,11,13,2009.1666,307.91888,.0018465254,178.26883,.0013591871,210.68135,.0012263141,356.53766,.0022571227
AK,2009,4,3320,12,13,7,11,2009.25,210.17368,.0012522379,122.60131,.0010728453,192.65919,.00091248535,227.68816,.0017074295
AK,2009,5,3426,9,10,1,10,2009.3334,152.75319,.0011168441,16.972576,.00085127656,169.72577,.00076131325,169.72577,.001420309
AK,2009,6,2989,12,15,10,11,2009.4166,233.44818,.0011604229,194.54015,.00093154213,213.99416,.00076642819,291.81024,.0014982998
AK,2009,7,3066,6,8,5,6,2009.5,113.79266,.001083663,94.827217,.00084961206,113.79266,.00066339743,151.72356,.0013172176
AK,2009,8,2921,4,4,2,3,2009.5834,79.627594,.00090525782,39.813797,.00079918723,59.720695,.0005188706,79.627594,.0011325246
AK,2009,9,2831,5,7,3,6,2009.6666,102.69878,.00088562665,61.619267,.00067236973,123.23853,.00055302418,143.77829,.0010669515
AK,2009,10,2994,6,9,6,4,2009.75,116.52916,.00076792971,116.52916,.00063097797,77.686111,.00056486408,174.79373,.0010390312
AK,2009,11,2985,8,11,5,7,2009.8334,155.84067,.0012466421,97.400414,.00098399748,136.36058,.00065993599,214.28091,.0014691958
AK,2009,12,2893,8,10,5,10,2009.9166,160.79654,.0012703809,100.49783,.00099282095,200.99567,.00073209347,200.99567,.0014814842
AK,2010,1,3041,13,17,10,14,2010,248.57764,.0016074619,191.21358,.0011928451,267.69901,.00080285012,325.06311,.0017395583
AK,2010,2,3047,9,11,4,10,2010.0834,171.75334,.0015258498,76.334824,.0010810834,190.83705,.00078425498,209.92076,.0016039317
AK,2010,3,3369,7,10,4,6,2010.1666,120.81815,.0010719881,69.03894,.00068337133,103.55842,.00064159062,172.59735,.0011555819
AK,2010,4,2949,5,6,3,6,2010.25,98.589432,.00085075625,59.153664,.00060790015,118.30733,.00061096053,118.30733,.0010549852
AK,2010,5,3041,3,3,3,1,2010.3334,57.364079,.0011233917,57.364079,.00079482369,19.121359,.00065579748,57.364079,.0012430485
AK,2010,6,2746,7,6,5,1,2010.4166,148.22882,.0011973616,105.87773,.00094740768,21.175547,.00058946846,127.05328,.001321294
AK,2010,7,2877,7,8,5,5,2010.5,141.47943,.0016294029,101.05675,.0013926371,101.05675,.00069947483,161.69078,.0018498157
AK,2010,8,2791,6,9,5,5,2010.5834,125.00476,.0016693554,104.17063,.0013131551,104.17063,.00073380012,187.50714,.0017711014
AK,2010,9,2852,4,9,7,5,2010.6666,81.55407,.002131782,142.71962,.0017797287,101.94259,.00077047379,183.49664,.0022202944
AK,2010,10,3272,11,12,7,7,2010.75,195.4855,.0021879417,124.39986,.001647902,124.39986,.0011384643,213.25691,.0022629809
AK,2010,11,2870,8,8,4,7,2010.8334,162.08516,.0016731494,81.04258,.0013560808,141.82451,.00074435043,162.08516,.0017247051
AK,2010,12,2864,5,7,3,4,2010.9166,101.51545,.0015590037,60.909275,.0012671619,81.212357,.00065155147,142.12163,.0017165453
AK,2011,1,2890,11,10,6,8,2011,221.32475,.0014252582,120.7226,.00094662386,160.96346,.0007326873,201.20433,.0014177656
AK,2011,2,2847,14,15,10,9,2011.0834,285.94052,.0012937927,204.24324,.00093705667,183.81892,.00074087078,306.36484,.0014245658
AK,2011,3,3124,19,23,14,14,2011.1666,353.65332,.0015621454,260.58664,.0010681828,260.58664,.00085631182,428.10663,.0016917738
AK,2011,4,3089,11,10,1,10,2011.25,207.06654,.0011267505,18.82423,.00080730114,188.24231,.00074388023,188.24231,.001327113
AK,2011,5,3304,5,4,3,2,2011.3334,87.996445,.00094183424,52.797867,.00067313149,35.198578,.0005302527,70.397156,.0010405382
AK,2011,6,2899,4,4,2,3,2011.4166,80.231873,.0013102951,40.115936,.00097405218,60.173901,.00066882849,80.231873,.0014411736
AK,2011,7,2940,13,13,5,9,2011.5,257.11722,.0021125947,98.891235,.0016752833,178.00423,.0007355811,257.11722,.0021413465
AK,2011,8,3215,10,15,12,5,2011.5834,180.86485,.0025051921,217.03783,.0021635119,90.432426,.00090299064,271.29727,.0026901797
AK,2011,9,2953,12,15,10,7,2011.6666,236.29414,.0023668853,196.91177,.0020013747,137.83824,.0008413606,295.36768,.0024510922
AK,2011,10,2821,8,9,5,5,2011.75,164.90053,.0014593584,103.06284,.0011414503,103.06284,.0008735701,185.51309,.0016533909
AK,2011,11,2672,2,5,4,3,2011.8334,43.523991,.0015494392,87.047981,.0012755441,65.285988,.00074838055,108.80997,.0017387844
AK,2011,12,2873,7,5,5,2,2011.9166,141.67641,.0019254892,101.19744,.0016365927,40.478977,.00070656929,101.19744,.002017128
AK,2012,1,3168,13,17,7,15,2012,238.61258,.0015536789,128.48369,.0011038822,275.3222,.00098736887,312.03183,.00169463
AK,2012,2,2884,8,10,6,6,2012.0834,161.29834,.0012110971,120.97375,.00095457869,120.97375,.00066326372,201.62292,.001402943
AK,2012,3,3019,5,3,1,2,2012.1666,96.303497,.00097493955,19.260698,.0007473515,38.521397,.00050551386,57.782097,.0011003044
AK,2012,4,2913,15,13,4,13,2012.25,299.42352,.0010861417,79.846275,.00085121207,259.50037,.00059628184,259.50037,.0012555076
AK,2012,5,2895,4,7,6,2,2012.3334,80.342728,.0013008515,120.5141,.0010305267,40.171364,.00066757016,140.59978,.0014374575
AK,2012,6,2663,7,8,8,1,2012.4166,152.8488,.0017757181,174.68434,.0015008358,21.835543,.00072449242,174.68434,.0019033839
AK,2012,7,2611,11,9,6,4,2012.5,244.97455,.001712302,133.62248,.001482708,89.081657,.00073306193,200.43373,.0018702956
AK,2012,8,2771,11,12,3,11,2012.5834,230.8295,.0016894932,62.953499,.0014377264,230.8295,.00069187355,251.814,.0018363569
AK,2012,9,2889,2,2,1,1,2012.6666,40.254795,.0016466771,20.127398,.0014689998,20.127398,.0007044361,40.254795,.0018298263
AK,2012,10,3025,6,5,5,2,2012.75,115.33497,.0017711455,96.11248,.0016249119,38.444992,.00079775328,96.11248,.0020101217
AK,2012,11,3080,1,2,2,1,2012.8334,18.879236,.0022567608,37.758472,.0020102509,18.879236,.0007997147,37.758472,.0023666271
AK,2012,12,2881,6,7,4,4,2012.9166,121.09972,.0022127873,80.733147,.0019868433,80.733147,.00069918361,141.283,.0023702253
AK,2013,1,3382,11,9,3,7,2013,189.1273,.0021389211,51.580173,.0017742103,120.35374,.00082655594,154.74052,.0022780856
AK,2013,2,3272,6,7,7,6,2013.0834,106.62846,.0016388996,124.39986,.0012902903,106.62846,.00071035605,124.39986,.0017356869
AK,2013,3,3432,6,8,5,5,2013.1666,101.65742,.0015677663,84.714523,.0012264887,84.714523,.00072849344,135.54324,.001695958
AK,2013,4,3255,9,11,3,10,2013.25,160.77803,.0010261501,53.592674,.00080780528,178.64224,.00057511689,196.50645,.0011822039
AK,2013,5,3448,5,6,4,3,2013.3334,84.321419,.00085108809,67.45713,.00063500059,50.59285,.00052679505,101.1857,.00096836156
AK,2013,6,2998,6,4,2,4,2013.4166,116.37368,.00097317685,38.791229,.00076522306,77.582458,.00053335866,77.582458,.0011100634
AK,2013,7,3104,5,14,9,5,2013.5,93.666313,.0011254274,168.59937,.00095886952,93.666313,.00054934341,262.26569,.0013060732
AK,2013,8,3263,3,9,9,1,2013.5834,53.461277,.0010158509,160.38383,.00086593349,17.820427,.00046056378,160.38383,.0011417445
AK,2013,9,3606,4,6,2,4,2013.6666,64.501442,.0013825078,32.250721,.0012792036,64.501442,.0005632423,96.752159,.001586598
AK,2013,10,4549,11,11,5,8,2013.75,140.60861,.0021611396,63.913006,.0020429508,102.2608,.00064569712,140.60861,.0023692711
AK,2013,11,3484,8,4,3,3,2013.8334,133.5202,.0010239037,50.070076,.00083770108,50.070076,.00053949421,66.760101,.0011685026
AK,2013,12,3372,5,6,4,2,2013.9166,86.221901,.0011068404,68.977524,.00093391165,34.488762,.00050848495,103.46628,.0012909553
AK,2014,1,3527,10,13,10,6,2014,164.86546,.0012224988,164.86546,.0009669959,98.919281,.00063178706,214.3251,.0013690382
AK,2014,2,3377,4,10,5,9,2014.0834,68.875397,.00099182292,86.094238,.00082227006,154.96964,.00053387519,172.18848,.0011826244
AK,2014,3,3732,5,7,3,5,2014.1666,77.904678,.00086434587,46.742805,.00072746701,77.904678,.00063563435,109.06655,.001103737
AK,2014,4,3410,5,5,4,2,2014.25,85.26107,.00082587177,68.208862,.00059888448,34.104431,.00047526078,85.26107,.00090720021
AK,2014,5,3631,10,10,8,6,2014.3334,160.14334,.00081310183,128.11469,.00064512121,96.086014,.00052183197,160.14334,.0009811701
AK,2014,6,3334,6,6,3,4,2014.4166,104.64556,.00077055034,52.322781,.00063966587,69.763702,.00049675372,104.64556,.00094648224
AK,2014,7,3806,17,15,7,11,2014.5,259.72592,.00093301228,106.94597,.00079607038,168.05794,.00055639027,229.16994,.0010833228
AK,2014,8,3611,12,12,4,11,2014.5834,193.23639,.00057136262,64.412125,.00055507646,177.13336,.00043871341,193.23639,.00076222682
AK,2014,9,3356,5,5,2,5,2014.6666,86.632965,.00065528776,34.653187,.00050268456,86.632965,.00057086709,86.632965,.00087927206
AK,2014,10,3958,8,10,5,10,2014.75,117.53017,.00081893738,73.456352,.0006296715,146.9127,.00063024438,146.9127,.00096997269
AK,2014,11,3521,10,12,4,12,2014.8334,165.14641,.00079117325,66.058563,.00065292802,198.17569,.0005124606,198.17569,.00094482314
AK,2014,12,3331,15,20,9,13,2014.9166,261.84952,.00096054206,157.10971,.00077332754,226.93625,.00059035927,349.13269,.0011229772
AK,2015,1,3634,24,27,16,18,2015,384.02676,.0010791318,256.01782,.00074440509,288.02005,.00061379105,432.03009,.0011515013
AK,2015,2,3320,8,8,5,8,2015.0834,140.11578,.00094243739,87.572357,.00066509499,140.11578,.0005568171,140.11578,.0010158723
AK,2015,3,3777,10,13,5,12,2015.1666,153.953,.00081277476,76.976501,.000628201,184.74361,.00057128526,200.1389,.00094397966
AK,2015,4,3463,17,16,5,14,2015.25,285.45102,.00087110733,83.956184,.00068776711,235.07732,.00048081836,268.65976,.00097315933
AK,2015,5,3427,9,11,6,9,2015.3334,152.70862,.00083972292,101.80575,.00062175852,152.70862,.00058561016,186.64386,.00097423582
AK,2015,6,3239,3,6,3,3,2015.4166,53.857407,.00086874538,53.857407,.00068344316,53.857407,.00060447335,107.71481,.0010856697
AK,2015,7,3253,8,8,4,6,2015.5,143.00166,.00093154231,71.500832,.00080154545,107.25124,.00069552817,143.00166,.0012808249
AK,2015,8,3065,10,11,6,9,2015.5834,189.71631,.00089440244,113.82978,.0007641493,170.74467,.00053948531,208.68794,.0010354859
AK,2015,9,3131,16,16,8,14,2015.6666,297.14749,.0010553686,148.57375,.00090818136,260.00406,.00052962813,297.14749,.00122547
AK,2015,10,2868,6,6,2,5,2015.75,121.64864,.00084138114,40.549545,.00076002954,101.37387,.00045280927,121.64864,.0010319257
AK,2015,11,2453,6,9,4,6,2015.8334,142.22922,.00076475972,94.819481,.00065592065,142.22922,.00043518373,213.34384,.00090626022
AK,2015,12,2652,8,8,5,6,2015.9166,175.40891,.00086657651,109.63056,.00074693485,131.55669,.00054534222,175.40891,.0010612224
AK,2016,1,3303,22,21,6,18,2016,387.30157,.0011175139,105.6277,.0007523871,316.88309,.00077453692,369.69696,.0012911606
AK,2016,2,2959,9,13,1,13,2016.0834,176.86125,.0010786338,19.651251,.00070465868,255.46625,.00064089557,255.46625,.0011114388
AK,2016,3,2930,16,17,5,15,2016.1666,317.53201,.00074145879,99.228752,.00051343377,297.68628,.00055657123,337.37778,.00085536664
AK,2016,4,2661,18,22,8,16,2016.25,393.33517,.00085719983,174.81564,.00062264036,349.63129,.00064791535,480.74298,.0010272054
AK,2016,5,2999,13,13,2,13,2016.3334,252.05888,.00092126697,38.778294,.0007065286,252.05888,.00064789259,252.05888,.0011240043
AK,2016,6,2856,31,34,13,32,2016.4166,631.15881,.0016926853,264.6795,.0012436758,651.5188,.0015633731,692.23871,.0022573327
AK,2016,7,2819,12,13,6,10,2016.5,247.52629,.0010913467,123.76315,.00092010607,206.2719,.00085297268,268.15347,.0014638074
AK,2016,8,2877,7,9,3,9,2016.5834,141.47943,.00095815206,60.634045,.00085819676,181.90213,.00058660452,181.90213,.0012078595
AK,2016,9,3028,10,12,5,10,2016.6666,192.03452,.00069373939,96.017258,.00060476147,192.03452,.00049225858,230.44141,.00093438936
